#
# System calls table, please make sure the table consist only the syscalls
# really used somewhere in project.
# from kernel/linux-3.10.84/arch/mips/include/uapi/asm/unistd.h Linux 64-bit syscalls are in the range from 5000 to 5999.
#
# __NR_name			code		name			arguments
# -------------------------------------------------------------------------------------------------------------------------------------------------------------
__NR_read			5000		sys_read		(int fd, void *buf, unsigned long count)
__NR_write			5001		sys_write		(int fd, const void *buf, unsigned long count)
__NR_open			5002		sys_open		(const char *filename, unsigned long flags, unsigned long mode)
__NR_close			5003		sys_close		(int fd)
__NR_lseek			5008		sys_lseek		(int fd, unsigned long offset, unsigned long origin)
__NR_mmap			5009		sys_mmap		(void *addr, unsigned long len, unsigned long prot, unsigned long flags, unsigned long fd, unsigned long offset)
__NR_mprotect			5010		sys_mprotect		(const void *addr, unsigned long len, unsigned long prot)
__NR_munmap			5011		sys_munmap		(void *addr, unsigned long len)
__NR_brk			5012		sys_brk			(void *addr)
__NR_rt_sigaction		5013		sys_sigaction		(int signum, const rt_sigaction_t *act, rt_sigaction_t *oldact, size_t sigsetsize)
__NR_rt_sigprocmask		5014		sys_sigprocmask		(int how, k_rtsigset_t *set, k_rtsigset_t *old, size_t sigsetsize)
__NR_rt_sigreturn		5211		sys_rt_sigreturn	(void)
__NR_ioctl			5015		sys_ioctl		(unsigned int fd, unsigned int cmd, unsigned long arg)
__NR_pread64			5016		sys_pread		(unsigned int fd, char *buf, size_t count, loff_t pos)
__NR_mremap			5024		sys_mremap		(unsigned long addr, unsigned long old_len, unsigned long new_len, unsigned long flags, unsigned long new_addr)
__NR_mincore			5026		sys_mincore		(void *addr, unsigned long size, unsigned char *vec)
__NR_madvise			5027		sys_madvise		(unsigned long start, size_t len, int behavior)
__NR_shmat			5029		sys_shmat		(int shmid, void *shmaddr, int shmflag)
__NR_dup2			5032		sys_dup2		(int oldfd, int newfd)
__NR_nanosleep			5034		sys_nanosleep		(struct timespec *req, struct timespec *rem)
__NR_getitimer			5035		sys_getitimer		(int which, const struct itimerval *val)
__NR_setitimer			5036		sys_setitimer		(int which, const struct itimerval *val, struct itimerval *old)
__NR_getpid			5038		sys_getpid		(void)
__NR_socket			5040		sys_socket		(int domain, int type, int protocol)
__NR_connect			5041		sys_connect		(int sockfd, struct sockaddr *addr, int addrlen)
__NR_sendto			5043		sys_sendto		(int sockfd, void *buff, size_t len, unsigned int flags, struct sockaddr *addr, int addr_len)
__NR_recvfrom			5044		sys_recvfrom		(int sockfd, void *ubuf, size_t size, unsigned int flags, struct sockaddr *addr, int *addr_len)
__NR_sendmsg			5045		sys_sendmsg		(int sockfd, const struct msghdr *msg, int flags)
__NR_recvmsg			5046		sys_recvmsg		(int sockfd, struct msghdr *msg, int flags)
__NR_shutdown			5047		sys_shutdown		(int sockfd, int how)
__NR_bind			5048		sys_bind		(int sockfd, const struct sockaddr *addr, int addrlen)
__NR_setsockopt			5053		sys_setsockopt		(int sockfd, int level, int optname, const void *optval, socklen_t optlen)
__NR_getsockopt			5054		sys_getsockopt		(int sockfd, int level, int optname, const void *optval, socklen_t *optlen)
__NR_clone			5055		sys_clone		(unsigned long flags, void *child_stack, void *parent_tid, unsigned long newtls, void *child_tid)
__NR_exit			5058		sys_exit		(unsigned long error_code)
__NR_wait4			5059		sys_wait4		(int pid, int *status, int options, struct rusage *ru)
__NR_kill			5060		sys_kill		(long pid, int sig)
__NR_fcntl			5070		sys_fcntl		(int fd, int type, long arg)
__NR_flock			5071		sys_flock		(int fd, unsigned long cmd)
